Stand;Satzart;Wahlkreisnr;Kreisnr;Gemeindenr;Wahlbezirksnr;Name;Gemeinde mit eigenem Briefwahlbezirk;abgebend nach Gemeinde/Wahlbezirk;aufnehmend von Gemeinde/Wahlbezirk;Anzahl Wahlbezirke;;Wahlberechtigte;Wähler;Wahlbeteiligung;Erststimmen;;Zweitstimmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;insgesamt;erfasst;;;;ungültige;gültige;ungültige;gültige;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Erststimmen;
;;;;;;;;;;;;;;;;;;;AfD;;AfD;;SPD;;SPD;;CDU;;CDU;;Die Linke;;Die Linke;;FDP;;FDP;;GRÜNE;;GRÜNE;;FREIE WÄHLER;;FREIE WÄHLER;;Volt;;Volt;;MLPD;;MLPD;;BÜNDNIS DEUTSCHLAND;;BÜNDNIS DEUTSCHLAND;;BSW;;BSW;;Einzelbewerber;;Einzelbewerber;
;;;;;;;;;;;;;;;;;;;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%
V;;195;66;064;0001;Schwallungen;;;;1;1;984;668; 67,9;5;663;3;665;379; 57,2;381; 57,3;52; 7,8;36; 5,4;114; 17,2;96; 14,4;35; 5,3;51; 7,7;12; 1,8;14; 2,1;4; 0,6;10; 1,5;18; 2,7;15; 2,3;-;-;3; 0,5;-;-;-;-;-;-;1; 0,2;42; 6,3;58; 8,7;6; 0,9;1; 0,2
V;;195;66;064;0002;Schwallungen/Eckardts;;;;1;1;277;218; 78,7;2;216;3;215;116; 53,7;117; 54,4;15; 6,9;11; 5,1;51; 23,6;39; 18,1;15; 6,9;22; 10,2;2; 0,9;4; 1,9;2; 0,9;3; 1,4;4; 1,9;4; 1,9;-;-;-;-;-;-;-;-;-;-;1; 0,5;9; 4,2;14; 6,5;2; 0,9;-;-
V;;195;66;064;0003;Schwallungen/Schwarzbach;;;;1;1;220;169; 76,8;2;167;2;167;63; 37,7;66; 39,5;22; 13,2;15; 9,0;45; 26,9;33; 19,8;12; 7,2;23; 13,8;4; 2,4;6; 3,6;-;-;2; 1,2;6; 3,6;4; 2,4;-;-;1; 0,6;2; 1,2;1; 0,6;-;-;1; 0,6;12; 7,2;15; 9,0;-;-;1; 0,6
V;;195;66;064;0004;Schwallungen/Zillbach;;;;1;1;364;239; 65,7;1;238;1;238;167; 70,2;169; 71,0;16; 6,7;13; 5,5;29; 12,2;28; 11,8;12; 5,0;13; 5,5;4; 1,7;3; 1,3;-;-;-;-;3; 1,3;2; 0,8;-;-;-;-;-;-;-;-;-;-;-;-;7; 2,9;10; 4,2;-;-;-;-
V;G;195;66;065;0000;Schwarza;;;;1;1;935;596; 63,7;11;585;8;588;308; 52,6;308; 52,4;57; 9,7;52; 8,8;100; 17,1;93; 15,8;47; 8,0;64; 10,9;12; 2,1;14; 2,4;5; 0,9;9; 1,5;12; 2,1;7; 1,2;-;-;1; 0,2;1; 0,2;1; 0,2;-;-;1; 0,2;37; 6,3;38; 6,5;6; 1,0;-;-
V;;195;66;065;0001;Schwarza;;;;1;1;935;596; 63,7;11;585;8;588;308; 52,6;308; 52,4;57; 9,7;52; 8,8;100; 17,1;93; 15,8;47; 8,0;64; 10,9;12; 2,1;14; 2,4;5; 0,9;9; 1,5;12; 2,1;7; 1,2;-;-;1; 0,2;1; 0,2;1; 0,2;-;-;1; 0,2;37; 6,3;38; 6,5;6; 1,0;-;-
V;G;195;66;069;0000;Steinbach-Hallenberg, Stadt;x;;;12;12;7828;6369; 81,4;59;6310;62;6307;2477; 39,3;2506; 39,7;666; 10,6;531; 8,4;1403; 22,2;1298; 20,6;617; 9,8;763; 12,1;280; 4,4;217; 3,4;99; 1,6;147; 2,3;142; 2,3;102; 1,6;-;-;16; 0,3;7; 0,1;5; 0,1;-;-;14; 0,2;567; 9,0;708; 11,2;25; 0,4;27; 0,4
V;;195;66;069;0001;Altersbach, Feuerwehrgerätehaus;;;;1;1;357;202; 56,6;6;196;5;197;88; 44,9;94; 47,7;29; 14,8;23; 11,7;29; 14,8;33; 16,8;11; 5,6;13; 6,6;6; 3,1;2; 1,0;2; 1,0;5; 2,5;6; 3,1;2; 1,0;-;-;-;-;-;-;-;-;-;-;1; 0,5;24; 12,2;24; 12,2;1; 0,5;-;-
V;;195;66;069;0002;Bermbach, Dorfgemeinschaftshaus;;;;1;1;412;266; 64,6;2;264;1;265;125; 47,3;129; 48,7;30; 11,4;19; 7,2;36; 13,6;42; 15,8;21; 8,0;26; 9,8;9; 3,4;3; 1,1;6; 2,3;6; 2,3;8; 3,0;6; 2,3;-;-;2; 0,8;-;-;1; 0,4;-;-;1; 0,4;24; 9,1;30; 11,3;4; 1,5;1; 0,4
V;;195;66;069;0003;Gemeindezentrum Herges-Hallenberg;;;;1;1;618;402; 65,0;2;400;3;399;182; 45,5;185; 46,4;32; 8,0;23; 5,8;84; 21,0;83; 20,8;30; 7,5;34; 8,5;18; 4,5;11; 2,8;5; 1,3;10; 2,5;9; 2,3;9; 2,3;-;-;-;-;-;-;-;-;-;-;1; 0,3;38; 9,5;43; 10,8;1; 0,3;1; 0,3
V;;195;66;069;0004;Staatliche Grundschule;;;;1;1;1196;721; 60,3;11;710;10;711;290; 40,8;297; 41,8;80; 11,3;71; 10,0;133; 18,7;116; 16,3;87; 12,3;96; 13,5;25; 3,5;21; 3,0;16; 2,3;19; 2,7;16; 2,3;12; 1,7;-;-;1; 0,1;2; 0,3;-;-;-;-;-;-;57; 8,0;78; 11,0;2; 0,3;2; 0,3
V;;195;66;069;0005;Sporthalle Wolffstraße;;;;1;1;1269;709; 55,9;6;703;5;704;288; 41,0;285; 40,5;65; 9,2;56; 8,0;159; 22,6;146; 20,7;69; 9,8;78; 11,1;23; 3,3;23; 3,3;11; 1,6;21; 3,0;16; 2,3;13; 1,8;-;-;3; 0,4;-;-;1; 0,1;-;-;-;-;66; 9,4;78; 11,1;3; 0,4;3; 0,4
V;;195;66;069;0006;Oberschönau, Vereinszimmer ehem. Schule;;;;1;1;587;311; 53,0;2;309;3;308;166; 53,7;158; 51,3;34; 11,0;29; 9,4;62; 20,1;60; 19,5;16; 5,2;24; 7,8;6; 1,9;11; 3,6;-;-;2; 0,6;9; 2,9;7; 2,3;-;-;-;-;-;-;-;-;-;-;-;-;16; 5,2;17; 5,5;-;-;-;-
V;;195;66;069;0007;Rotterode, Sporthalle;;;;1;1;592;370; 62,5;4;366;4;366;145; 39,6;147; 40,2;28; 7,7;18; 4,9;84; 23,0;71; 19,4;32; 8,7;50; 13,7;28; 7,7;23; 6,3;1; 0,3;2; 0,5;8; 2,2;6; 1,6;-;-;1; 0,3;1; 0,3;-;-;-;-;-;-;32; 8,7;48; 13,1;1; 0,3;6; 1,6
V;;195;66;069;0008;Unterschönau, Feuerwehrgerätehaus;;;;1;1;397;234; 58,9;2;232;4;230;115; 49,6;111; 48,3;22; 9,5;18; 7,8;58; 25,0;52; 22,6;11; 4,7;17; 7,4;9; 3,9;11; 4,8;-;-;2; 0,9;1; 0,4;3; 1,3;-;-;-;-;-;-;-;-;-;-;-;-;14; 6,0;16; 7,0;-;-;2; 0,9
V;;195;66;069;0009;Vereinsraum Sporthalle Wolffstraße;;;;1;1;860;521; 60,6;7;514;12;509;198; 38,5;196; 38,5;54; 10,5;52; 10,2;118; 23,0;105; 20,6;53; 10,3;56; 11,0;23; 4,5;11; 2,2;7; 1,4;10; 2,0;11; 2,1;7; 1,4;-;-;2; 0,4;1; 0,2;-;-;-;-;5; 1,0;47; 9,1;65; 12,8;1; 0,2;1; 0,2
V;;195;66;069;0010;Viernau, Mehrzweckhalle;;;;1;1;1540;978; 63,5;10;968;8;970;469; 48,5;469; 48,4;75; 7,7;59; 6,1;177; 18,3;154; 15,9;90; 9,3;103; 10,6;33; 3,4;37; 3,8;17; 1,8;18; 1,9;21; 2,2;16; 1,6;-;-;2; 0,2;2; 0,2;1; 0,1;-;-;4; 0,4;78; 8,1;107; 11,0;5; 0,5;1; 0,1
V;;195;66;069;9011;Briefwahl I;;;;1;1;-;871;-;2;869;3;868;211; 24,3;216; 24,9;113; 13,0;85; 9,8;251; 28,9;237; 27,3;102; 11,7;149; 17,2;49; 5,6;33; 3,8;18; 2,1;28; 3,2;20; 2,3;12; 1,4;-;-;5; 0,6;-;-;-;-;-;-;-;-;94; 10,8;103; 11,9;3; 0,3;8; 0,9
V;;195;66;069;9012;Briefwahl II;;;;1;1;-;784;-;5;779;4;780;200; 25,7;219; 28,1;104; 13,4;78; 10,0;212; 27,2;199; 25,5;95; 12,2;117; 15,0;51; 6,5;31; 4,0;16; 2,1;24; 3,1;17; 2,2;9; 1,2;-;-;-;-;1; 0,1;2; 0,3;-;-;2; 0,3;77; 9,9;99; 12,7;4; 0,5;2; 0,3
V;G;195;66;074;0000;Brotterode-Trusetal, Stadt;x;;;6;6;4846;3913; 80,7;64;3849;49;3864;1882; 48,9;1878; 48,6;380; 9,9;319; 8,3;697; 18,1;670; 17,3;326; 8,5;392; 10,1;124; 3,2;73; 1,9;41; 1,1;62; 1,6;46; 1,2;54; 1,4;-;-;10; 0,3;4; 0,1;49; 1,3;-;-;4; 0,1;331; 8,6;353; 9,1;13; 0,3;5; 0,1
V;;195;66;074;0001;Herges;;;;1;1;1215;748; 61,6;14;734;6;742;429; 58,4;429; 57,8;57; 7,8;44; 5,9;96; 13,1;92; 12,4;67; 9,1;69; 9,3;18; 2,5;15; 2,0;7; 1,0;14; 1,9;6; 0,8;5; 0,7;-;-;-;-;1; 0,1;2; 0,3;-;-;-;-;47; 6,4;72; 9,7;5; 0,7;1; 0,1
V;;195;66;074;0002;Trusen;;;;1;1;1193;690; 57,8;13;677;12;678;412; 60,9;417; 61,5;51; 7,5;48; 7,1;80; 11,8;75; 11,1;44; 6,5;54; 8,0;17; 2,5;13; 1,9;6; 0,9;7; 1,0;8; 1,2;8; 1,2;-;-;2; 0,3;-;-;45; 6,6;-;-;-;-;55; 8,1;9; 1,3;4; 0,6;-;-
V;;195;66;074;0003;Laudenbach-Elmenthal;;;;1;1;493;314; 63,7;3;311;3;311;170; 54,7;167; 53,7;18; 5,8;16; 5,1;59; 19,0;56; 18,0;23; 7,4;24; 7,7;10; 3,2;7; 2,3;4; 1,3;4; 1,3;1; 0,3;4; 1,3;-;-;1; 0,3;-;-;-;-;-;-;-;-;26; 8,4;32; 10,3;-;-;-;-
V;;195;66;074;0004;Gartenstraße Brotterode /;;;;1;1;1117;648; 58,0;19;629;15;633;312; 49,6;299; 47,2;72; 11,4;49; 7,7;117; 18,6;119; 18,8;55; 8,7;67; 10,6;11; 1,7;13; 2,1;3; 0,5;10; 1,6;7; 1,1;9; 1,4;-;-;2; 0,3;-;-;-;-;-;-;-;-;51; 8,1;65; 10,3;1; 0,2;-;-
V;;195;66;074;0005;Schulstraße Brotterode;;;;1;1;828;512; 61,8;12;500;10;502;267; 53,4;274; 54,6;40; 8,0;41; 8,2;91; 18,2;74; 14,7;29; 5,8;39; 7,8;12; 2,4;5; 1,0;7; 1,4;5; 1,0;5; 1,0;9; 1,8;-;-;2; 0,4;1; 0,2;1; 0,2;-;-;1; 0,2;45; 9,0;51; 10,2;2; 0,4;1; 0,2
V;;195;66;074;9001;Briefwahl;;;;1;1;-;1001;-;3;998;3;998;292; 29,3;292; 29,3;142; 14,2;121; 12,1;254; 25,5;254; 25,5;108; 10,8;139; 13,9;56; 5,6;20; 2,0;14; 1,4;22; 2,2;19; 1,9;19; 1,9;-;-;3; 0,3;2; 0,2;1; 0,1;-;-;3; 0,3;107; 10,7;124; 12,4;1; 0,1;3; 0,3
V;G;195;66;076;0000;Untermaßfeld;;;;1;1;1007;511; 50,7;6;505;6;505;183; 36,2;194; 38,4;51; 10,1;44; 8,7;105; 20,8;84; 16,6;76; 15,0;75; 14,9;9; 1,8;24; 4,8;12; 2,4;17; 3,4;17; 3,4;14; 2,8;-;-;4; 0,8;-;-;-;-;-;-;1; 0,2;33; 6,5;48; 9,5;16; 3,2;3; 0,6
V;;195;66;076;0001;Untermaßfeld;;;;1;1;1007;511; 50,7;6;505;6;505;183; 36,2;194; 38,4;51; 10,1;44; 8,7;105; 20,8;84; 16,6;76; 15,0;75; 14,9;9; 1,8;24; 4,8;12; 2,4;17; 3,4;17; 3,4;14; 2,8;-;-;4; 0,8;-;-;-;-;-;-;1; 0,2;33; 6,5;48; 9,5;16; 3,2;3; 0,6
V;G;195;66;079;0000;Utendorf;;;;1;1;330;250; 75,8;5;245;6;244;98; 40,0;116; 47,5;25; 10,2;22; 9,0;60; 24,5;54; 22,1;15; 6,1;16; 6,6;5; 2,0;7; 2,9;2; 0,8;7; 2,9;1; 0,4;2; 0,8;-;-;-;-;-;-;-;-;-;-;-;-;18; 7,3;20; 8,2;21; 8,6;-;-
V;;195;66;079;0001;Utendorf;;;;1;1;330;250; 75,8;5;245;6;244;98; 40,0;116; 47,5;25; 10,2;22; 9,0;60; 24,5;54; 22,1;15; 6,1;16; 6,6;5; 2,0;7; 2,9;2; 0,8;7; 2,9;1; 0,4;2; 0,8;-;-;-;-;-;-;-;-;-;-;-;-;18; 7,3;20; 8,2;21; 8,6;-;-
V;G;195;66;081;0000;Vachdorf;;;;1;1;620;441; 71,1;3;438;3;438;162; 37,0;173; 39,5;43; 9,8;32; 7,3;106; 24,2;101; 23,1;45; 10,3;50; 11,4;5; 1,1;10; 2,3;7; 1,6;9; 2,1;21; 4,8;13; 3,0;-;-;2; 0,5;1; 0,2;-;-;-;-;1; 0,2;39; 8,9;47; 10,7;8; 1,8;1; 0,2
V;;195;66;081;0001;Vachdorf;;;;1;1;620;441; 71,1;3;438;3;438;162; 37,0;173; 39,5;43; 9,8;32; 7,3;106; 24,2;101; 23,1;45; 10,3;50; 11,4;5; 1,1;10; 2,3;7; 1,6;9; 2,1;21; 4,8;13; 3,0;-;-;2; 0,5;1; 0,2;-;-;-;-;1; 0,2;39; 8,9;47; 10,7;8; 1,8;1; 0,2
V;G;195;66;086;0000;Wasungen, Stadt;;;;8;8;4426;2836; 64,1;13;2823;13;2823;1331; 47,1;1404; 49,7;245; 8,7;219; 7,8;592; 21,0;474; 16,8;259; 9,2;333; 11,8;43; 1,5;66; 2,3;31; 1,1;43; 1,5;65; 2,3;48; 1,7;-;-;4; 0,1;-;-;2; 0,1;-;-;3; 0,1;188; 6,7;227; 8,0;59; 2,1;10; 0,4
V;;195;66;086;0001;Wasungen, Rathaus;;;;1;1;898;520; 57,9;1;519;2;518;271; 52,2;281; 54,2;54; 10,4;41; 7,9;78; 15,0;66; 12,7;51; 9,8;69; 13,3;3; 0,6;5; 1,0;6; 1,2;8; 1,5;14; 2,7;7; 1,4;-;-;-;-;-;-;1; 0,2;-;-;-;-;32; 6,2;40; 7,7;8; 1,5;2; 0,4
V;;195;66;086;0002;Wasungen, Regelschule;;;;1;1;828;513; 62,0;5;508;4;509;212; 41,7;220; 43,2;36; 7,1;36; 7,1;96; 18,9;84; 16,5;70; 13,8;84; 16,5;13; 2,6;19; 3,7;9; 1,8;11; 2,2;25; 4,9;10; 2,0;-;-;-;-;-;-;-;-;-;-;1; 0,2;39; 7,7;44; 8,6;8; 1,6;-;-
V;;195;66;086;0003;Wasungen, Kegelbahn;;;;1;1;907;577; 63,6;3;574;3;574;282; 49,1;288; 50,2;63; 11,0;54; 9,4;116; 20,2;102; 17,8;45; 7,8;58; 10,1;11; 1,9;13; 2,3;5; 0,9;5; 0,9;8; 1,4;10; 1,7;-;-;-;-;-;-;1; 0,2;-;-;2; 0,3;34; 5,9;41; 7,1;8; 1,4;2; 0,3
V;;195;66;086;0004;Hümpfershausen;;;;1;1;314;224; 71,3;-;224;-;224;110; 49,1;114; 50,9;18; 8,0;19; 8,5;52; 23,2;39; 17,4;18; 8,0;22; 9,8;3; 1,3;5; 2,2;3; 1,3;4; 1,8;7; 3,1;7; 3,1;-;-;1; 0,4;-;-;-;-;-;-;-;-;10; 4,5;13; 5,8;3; 1,3;-;-
V;;195;66;086;0005;Metzels;;;;1;1;510;351; 68,8;2;349;1;350;170; 48,7;185; 52,9;25; 7,2;17; 4,9;64; 18,3;61; 17,4;22; 6,3;34; 9,7;5; 1,4;4; 1,1;3; 0,9;8; 2,3;2; 0,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36; 10,3;41; 11,7;18; 5,2;4; 1,1
V;;195;66;086;0006;Oepfershausen;;;;1;1;356;259; 72,8;1;258;1;258;120; 46,5;136; 52,7;16; 6,2;22; 8,5;67; 26,0;30; 11,6;23; 8,9;33; 12,8;4; 1,6;4; 1,6;1; 0,4;1; 0,4;2; 0,8;4; 1,6;-;-;2; 0,8;-;-;-;-;-;-;-;-;18; 7,0;26; 10,1;7; 2,7;-;-
V;;195;66;086;0007;Unterkatz;;;;1;1;291;173; 59,5;-;173;1;172;67; 38,7;79; 45,9;16; 9,2;15; 8,7;53; 30,6;39; 22,7;13; 7,5;16; 9,3;1; 0,6;5; 2,9;1; 0,6;1; 0,6;5; 2,9;4; 2,3;-;-;1; 0,6;-;-;-;-;-;-;-;-;11; 6,4;12; 7,0;5; 2,9;1; 0,6
V;;195;66;086;0008;Wahns;;;;1;1;322;219; 68,0;1;218;1;218;99; 45,4;101; 46,3;17; 7,8;15; 6,9;66; 30,3;53; 24,3;17; 7,8;17; 7,8;3; 1,4;11; 5,0;3; 1,4;5; 2,3;2; 0,9;6; 2,8;-;-;-;-;-;-;-;-;-;-;-;-;8; 3,7;10; 4,6;2; 0,9;1; 0,5
V;G;195;66;092;0000;Zella-Mehlis, Stadt;x;;;17;17;10295;8228; 79,9;65;8163;57;8171;3254; 39,9;3263; 39,9;924; 11,3;730; 8,9;1597; 19,6;1459; 17,9;989; 12,1;1187; 14,5;188; 2,3;219; 2,7;132; 1,6;194; 2,4;275; 3,4;218; 2,7;-;-;35; 0,4;16; 0,2;12; 0,1;-;-;17; 0,2;731; 9,0;837; 10,2;30; 0,4;27; 0,3
V;;195;66;092;0001;Lutherschule I;;;;1;1;1024;546; 53,3;5;541;6;540;250; 46,2;248; 45,9;34; 6,3;29; 5,4;96; 17,7;84; 15,6;63; 11,6;67; 12,4;10; 1,8;12; 2,2;6; 1,1;5; 0,9;29; 5,4;22; 4,1;-;-;6; 1,1;1; 0,2;1; 0,2;-;-;2; 0,4;47; 8,7;64; 11,9;3; 0,6;2; 0,4
V;;195;66;092;0002;Lutherschule II;;;;1;1;918;456; 49,7;2;454;3;453;250; 55,1;245; 54,1;32; 7,0;24; 5,3;68; 15,0;56; 12,4;32; 7,0;42; 9,3;15; 3,3;17; 3,8;5; 1,1;11; 2,4;16; 3,5;12; 2,6;-;-;1; 0,2;-;-;-;-;-;-;1; 0,2;35; 7,7;44; 9,7;1; 0,2;-;-
V;;195;66;092;0003;Schillerschule I;;;;1;1;723;371; 51,3;5;366;4;367;186; 50,8;190; 51,8;21; 5,7;17; 4,6;60; 16,4;56; 15,3;41; 11,2;46; 12,5;7; 1,9;3; 0,8;3; 0,8;5; 1,4;7; 1,9;6; 1,6;-;-;-;-;1; 0,3;-;-;-;-;2; 0,5;38; 10,4;42; 11,4;1; 0,3;1; 0,3
V;;195;66;092;0004;Schillerschule II;;;;1;1;827;420; 50,8;6;414;5;415;210; 50,7;210; 50,6;40; 9,7;32; 7,7;63; 15,2;52; 12,5;46; 11,1;56; 13,5;8; 1,9;15; 3,6;3; 0,7;6; 1,4;8; 1,9;5; 1,2;-;-;1; 0,2;1; 0,2;1; 0,2;-;-;2; 0,5;35; 8,5;35; 8,4;-;-;-;-
V;;195;66;092;0005;Kita Feldgasse I;;;;1;1;795;381; 47,9;4;377;3;378;177; 46,9;183; 48,4;37; 9,8;22; 5,8;62; 16,4;68; 18,0;46; 12,2;49; 13,0;7; 1,9;10; 2,6;4; 1,1;9; 2,4;5; 1,3;3; 0,8;-;-;2; 0,5;1; 0,3;1; 0,3;-;-;-;-;35; 9,3;31; 8,2;3; 0,8;-;-
V;;195;66;092;0006;Kita Feldgasse II;;;;1;1;901;511; 56,7;6;505;5;506;223; 44,2;222; 43,9;65; 12,9;57; 11,3;72; 14,3;66; 13,0;74; 14,7;81; 16,0;9; 1,8;12; 2,4;5; 1,0;5; 1,0;13; 2,6;8; 1,6;-;-;-;-;4; 0,8;3; 0,6;-;-;3; 0,6;37; 7,3;49; 9,7;2; 0,4;1; 0,2
V;;195;66;092;0007;Kita Rodebach;;;;1;1;793;401; 50,6;4;397;3;398;195; 49,1;189; 47,5;41; 10,3;35; 8,8;48; 12,1;48; 12,1;46; 11,6;39; 9,8;8; 2,0;9; 2,3;11; 2,8;13; 3,3;9; 2,3;14; 3,5;-;-;3; 0,8;-;-;1; 0,3;-;-;1; 0,3;37; 9,3;46; 11,6;-;-;2; 0,5
V;;195;66;092;0008;Gymnasium Alte Straße I;;;;1;1;742;346; 46,6;4;342;3;343;156; 45,6;153; 44,6;30; 8,8;26; 7,6;66; 19,3;60; 17,5;36; 10,5;40; 11,7;6; 1,8;12; 3,5;4; 1,2;7; 2,0;9; 2,6;9; 2,6;-;-;-;-;-;-;-;-;-;-;1; 0,3;32; 9,4;35; 10,2;1; 0,3;2; 0,6
V;;195;66;092;0009;Gymnasium Alte Straße II;;;;1;1;719;401; 55,8;2;399;1;400;184; 46,1;186; 46,5;36; 9,0;28; 7,0;84; 21,1;74; 18,5;36; 9,0;45; 11,3;14; 3,5;14; 3,5;4; 1,0;8; 2,0;10; 2,5;5; 1,3;-;-;2; 0,5;1; 0,3;1; 0,3;-;-;-;-;28; 7,0;37; 9,3;2; 0,5;-;-
V;;195;66;092;0010;Rathaus;;;;1;1;1057;479; 45,3;1;478;2;477;191; 40,0;192; 40,3;44; 9,2;32; 6,7;86; 18,0;79; 16,6;71; 14,9;89; 18,7;9; 1,9;15; 3,1;11; 2,3;15; 3,1;17; 3,6;8; 1,7;-;-;3; 0,6;1; 0,2;1; 0,2;-;-;1; 0,2;47; 9,8;42; 8,8;1; 0,2;-;-
V;;195;66;092;0011;Dorfgemeinschaftshaus I;;;;1;1;904;520; 57,5;1;519;2;518;243; 46,8;249; 48,1;59; 11,4;48; 9,3;76; 14,6;71; 13,7;61; 11,8;67; 12,9;10; 1,9;11; 2,1;9; 1,7;12; 2,3;28; 5,4;25; 4,8;-;-;1; 0,2;-;-;-;-;-;-;-;-;29; 5,6;34; 6,6;3; 0,6;1; 0,2
V;;195;66;092;0012;Dorfgemeinschaftshaus II;;;;1;1;892;524; 58,7;2;522;1;523;281; 53,8;280; 53,5;36; 6,9;33; 6,3;90; 17,2;84; 16,1;48; 9,2;50; 9,6;15; 2,9;17; 3,3;2; 0,4;5; 1,0;13; 2,5;8; 1,5;-;-;-;-;1; 0,2;-;-;-;-;2; 0,4;33; 6,3;44; 8,4;1; 0,2;2; 0,4
V;;195;66;092;9001;BW Rathaus Bibliothek I;;;;1;1;-;612;-;4;608;4;608;167; 27,5;175; 28,8;100; 16,4;72; 11,8;156; 25,7;142; 23,4;82; 13,5;115; 18,9;13; 2,1;13; 2,1;14; 2,3;18; 3,0;13; 2,1;8; 1,3;-;-;2; 0,3;2; 0,3;1; 0,2;-;-;1; 0,2;57; 9,4;61; 10,0;1; 0,2;3; 0,5
V;;195;66;092;9002;BW Rathaus Bibliothek II;;;;1;1;-;606;-;6;600;5;601;119; 19,8;115; 19,1;88; 14,7;72; 12,0;168; 28,0;150; 25,0;84; 14,0;104; 17,3;20; 3,3;22; 3,7;14; 2,3;26; 4,3;24; 4,0;21; 3,5;-;-;3; 0,5;2; 0,3;1; 0,2;-;-;-;-;75; 12,5;87; 14,5;3; 0,5;3; 0,5
V;;195;66;092;9003;BW Rathaus Bibliothek III;;;;1;1;-;612;-;4;608;4;608;147; 24,2;145; 23,8;97; 16,0;67; 11,0;157; 25,8;146; 24,0;107; 17,6;129; 21,2;10; 1,6;12; 2,0;12; 2,0;22; 3,6;26; 4,3;20; 3,3;-;-;4; 0,7;-;-;-;-;-;-;-;-;49; 8,1;63; 10,4;-;-;3; 0,5
V;;195;66;092;9004;BW Rathaus Archiv;;;;1;1;-;626;-;5;621;2;624;149; 24,0;157; 25,2;104; 16,7;86; 13,8;147; 23,7;128; 20,5;81; 13,0;112; 17,9;16; 2,6;15; 2,4;14; 2,3;14; 2,2;34; 5,5;33; 5,3;-;-;6; 1,0;1; 0,2;1; 0,2;-;-;1; 0,2;63; 10,1;71; 11,4;6; 1,0;6; 1,0
V;;195;66;092;9005;BW Bürgerservicebüro Benshausen;;;;1;1;-;416;-;4;412;4;412;126; 30,6;124; 30,1;60; 14,6;50; 12,1;98; 23,8;95; 23,1;35; 8,5;56; 13,6;11; 2,7;10; 2,4;11; 2,7;13; 3,2;14; 3,4;11; 2,7;-;-;1; 0,2;-;-;-;-;-;-;-;-;54; 13,1;52; 12,6;2; 0,5;1; 0,2
V;G;195;66;093;0000;Rhönblick;x;;;8;8;2166;1831; 84,5;12;1819;9;1822;662; 36,4;681; 37,4;223; 12,3;164; 9,0;430; 23,6;327; 17,9;159; 8,7;250; 13,7;37; 2,0;46; 2,5;31; 1,7;45; 2,5;73; 4,0;63; 3,5;-;-;4; 0,2;1; 0,1;-;-;-;-;8; 0,4;165; 9,1;234; 12,8;27; 1,5;11; 0,6
V;;195;66;093;0001;Bettenhausen;;;;1;1;554;351; 63,4;2;349;3;348;131; 37,5;137; 39,4;43; 12,3;34; 9,8;57; 16,3;48; 13,8;45; 12,9;62; 17,8;6; 1,7;3; 0,9;3; 0,9;6; 1,7;23; 6,6;16; 4,6;-;-;1; 0,3;1; 0,3;-;-;-;-;1; 0,3;32; 9,2;40; 11,5;6; 1,7;2; 0,6
V;;195;66;093;0002;Gerthausen;;;;1;1;149;104; 69,8;2;102;-;104;46; 45,1;46; 44,2;12; 11,8;7; 6,7;29; 28,4;25; 24,0;5; 4,9;11; 10,6;-;-;-;-;-;-;-;-;7; 6,9;7; 6,7;-;-;-;-;-;-;-;-;-;-;1; 1,0;3; 2,9;7; 6,7;-;-;-;-
V;;195;66;093;0003;Helmershausen / Geba;;;;1;1;500;315; 63,0;2;313;1;314;145; 46,3;152; 48,4;37; 11,8;30; 9,6;73; 23,3;45; 14,3;24; 7,7;49; 15,6;4; 1,3;4; 1,3;1; 0,3;1; 0,3;3; 1,0;4; 1,3;-;-;-;-;-;-;-;-;-;-;2; 0,6;19; 6,1;27; 8,6;6; 1,9;1; 0,3
V;;195;66;093;0004;Hermannsfeld/Gleimershausen/Haselbach;;;;1;1;302;205; 67,9;1;204;1;204;64; 31,4;64; 31,4;26; 12,7;22; 10,8;45; 22,1;36; 17,6;15; 7,4;20; 9,8;6; 2,9;11; 5,4;1; 0,5;1; 0,5;7; 3,4;3; 1,5;-;-;2; 1,0;-;-;-;-;-;-;1; 0,5;31; 15,2;44; 21,6;6; 2,9;3; 1,5
